,data,value
0,"['way', 'plug', 'us', 'unless', 'go', 'converter']",0
1,"['good', 'case', 'excellent', 'value']",1
2,"['great', 'jawbone']",1
3,"['tied', 'charger', 'conversations', 'lasting', 'minutesmajor', 'problems']",0
4,"['mic', 'great']",1
5,"['jiggle', 'plug', 'get', 'line', 'right', 'get', 'decent', 'volume']",0
6,"['several', 'dozen', 'several', 'hundred', 'contacts', 'imagine', 'fun', 'sending', 'one', 'one']",0
7,"['razr', 'owneryou', 'must']",1
8,"['needless', 'say', 'wasted', 'money']",0
9,"['waste', 'money', 'time']",0
10,"['sound', 'quality', 'great']",1
11,"['impressed', 'going', 'original', 'battery', 'extended', 'battery']",1
12,"['two', 'seperated', 'mere', 'ft', 'started', 'notice', 'excessive', 'static', 'garbled', 'sound', 'headset']",0
13,"['good', 'quality', 'though']",1
14,"['design', 'odd', 'ear', 'clip', 'comfortable']",0
15,"['highly', 'recommend', 'one', 'blue', 'tooth', 'phone']",1
16,"['advise', 'everyone', 'fooled']",0
17,"['far', 'good']",1
18,"['works', 'great']",1
19,"['clicks', 'place', 'way', 'makes', 'wonder', 'long', 'mechanism', 'would', 'last']",0
20,"['went', 'motorolas', 'website', 'followed', 'directions', 'could', 'get', 'pair']",0
21,"['bought', 'use', 'kindle', 'fire', 'absolutely', 'loved']",1
22,"['commercials', 'misleading']",0
23,"['yet', 'run', 'new', 'battery', 'two', 'bars', 'thats', 'three', 'days', 'without', 'charging']",1
24,"['bought', 'mother', 'problem', 'battery']",0
25,"['great', 'pocket', 'pc', 'phone', 'combination']",1
26,"['owned', 'phone', 'months', 'say', 'best', 'mobile', 'phone']",1
27,"['didnt', 'think', 'instructions', 'provided', 'helpful']",0
28,"['people', 'couldnt', 'hear', 'talk', 'pull', 'earphone', 'talk', 'phone']",0
29,"['doesnt', 'hold', 'charge']",0
30,"['simple', 'little', 'phone', 'use', 'breakage', 'unacceptible']",0
31,"['product', 'ideal', 'people', 'like', 'whose', 'ears', 'sensitive']",1
32,"['unusable', 'moving', 'car', 'freeway', 'speed']",0
33,"['two', 'years', 'left', 'contract', 'hate', 'phone']",0
34,"['car', 'charger', 'well', 'ac', 'charger', 'included', 'make', 'sure', 'never', 'run', 'juicehighy', 'recommended']",1
35,"['need', 'least', 'mins', 'get', 'phone', 'book', 'time', 'first', 'turn', 'phonebattery', 'life', 'short']",0
36,"['kept', 'well']",1
37,"['poor', 'talk', 'time', 'performance']",0
38,"['case', 'great', 'works', 'fine']",1
39,"['worthless', 'product']",0
40,"['great', 'camera', 'thats', 'mp', 'pics', 'nice', 'clear', 'great', 'picture', 'quality']",1
41,"['impressed', 'product']",0
42,"['nice', 'headset', 'priced', 'right']",1
43,"['hear', 'garbage', 'audio']",0
44,"['excellent', 'bluetooth', 'headset']",1
45,"['features', 'want']",1
